Tweet,Tweet_Normalized,Tweet_Tokenized,Tweet_Stopwords,Tweet_Stemmed,Suicide
senang mendengar anda beralih anda tidak akan kecewa,senang mendengar anda beralih anda tidak akan kecewa,"['senang', 'mendengar', 'anda', 'beralih', 'anda', 'tidak', 'akan', 'kecewa']","['senang', 'mendengar', 'beralih', 'kecewa']","['senang', 'dengar', 'alih', 'kecewa']",Not Suicide post
aku ingin bunuh diri,saya ingin bunuh diri diri,"['saya', 'ingin', 'bunuh', 'diri', 'diri']",['bunuh'],['bunuh'],Potential Suicide post
"tolong retweet gulma saya papan kartun dewasa paling keren, saya lelah menjalani masa terburuk dalam permohonan","tolong retweet gulma saya papan kartun dewasa paling keren, saya lelah menjalani masa terburuk dalam permohonan","['tolong', 'retweet', 'gulma', 'saya', 'papan', 'kartun', 'dewasa', 'paling', 'keren', ',', 'saya', 'lelah', 'menjalani', 'masa', 'terburuk', 'dalam', 'permohonan']","['tolong', 'retweet', 'gulma', 'papan', 'kartun', 'dewasa', 'keren', ',', 'lelah', 'menjalani', 'terburuk', 'permohonan']","['tolong', 'retweet', 'gulma', 'papan', 'kartun', 'dewasa', 'keren', '', 'lelah', 'jalan', 'buruk', 'mohon']",Potential Suicide post
pergi ke toko roti untuk membeli barang -barang enak,pergi ke toko roti untuk membeli barang -barang enak,"['pergi', 'ke', 'toko', 'roti', 'untuk', 'membeli', 'barang', '-barang', 'enak']","['pergi', 'toko', 'roti', 'membeli', 'barang', '-barang', 'enak']","['pergi', 'toko', 'roti', 'beli', 'barang', '-barang', 'enak']",Not Suicide post
sedang membersihkan akan dimulai lagi,sedang membersihkan akan dimulai lagi,"['sedang', 'membersihkan', 'akan', 'dimulai', 'lagi']",['membersihkan'],['bersih'],Not Suicide post
imbalan akan dikreditkan ke akun huobi anda dalam 3 hari kerja,imbalan akan dikreditkan ke akun huobi anda dalam 3 hari kerja,"['imbalan', 'akan', 'dikreditkan', 'ke', 'akun', 'huobi', 'anda', 'dalam', '3', 'hari', 'kerja']","['imbalan', 'dikreditkan', 'akun', 'huobi', '3', 'kerja']","['imbal', 'kredit', 'akun', 'huobi', '3', 'kerja']",Not Suicide post
bukti,bukti,['bukti'],['bukti'],['bukti'],Not Suicide post
hen style mungkin atau mungkin tidak melibatkan membuat janji orang lain tidak perlu memberikan kekhawatiran seperti itu di sini,hen style mungkin atau mungkin tidak melibatkan membuat janji orang lain tidak perlu memberikan kekhawatiran seperti itu di sini,"['hen', 'style', 'mungkin', 'atau', 'mungkin', 'tidak', 'melibatkan', 'membuat', 'janji', 'orang', 'lain', 'tidak', 'perlu', 'memberikan', 'kekhawatiran', 'seperti', 'itu', 'di', 'sini']","['hen', 'style', 'melibatkan', 'janji', 'orang', 'kekhawatiran']","['hen', 'style', 'libat', 'janji', 'orang', 'khawatir']",Not Suicide post
pertahankan anda melakukan pekerjaan yang baik,pertahankan anda melakukan pekerjaan yang baik,"['pertahankan', 'anda', 'melakukan', 'pekerjaan', 'yang', 'baik']","['pertahankan', 'pekerjaan']","['tahan', 'kerja']",Not Suicide post
niiiceee,niiiceee,['niiiceee'],['niiiceee'],['niiiceee'],Not Suicide post
"hari ini saya hampir bunuh diri karena saya hampir menabrak mobil, terima kasih tuhan","hari ini saya hampir bunuh diri diri karena saya hampir menabrak mobil, terima kasih tuhan","['hari', 'ini', 'saya', 'hampir', 'bunuh', 'diri', 'diri', 'karena', 'saya', 'hampir', 'menabrak', 'mobil', ',', 'terima', 'kasih', 'tuhan']","['bunuh', 'menabrak', 'mobil', ',', 'terima', 'kasih', 'tuhan']","['bunuh', 'tabrak', 'mobil', '', 'terima', 'kasih', 'tuhan']",Not Suicide post
pak tolong beri tahu apakah itu cocok untuk pm yang dihormati untuk memberi tahu saya memberi saya 50 hari dan jika hal -hal tidak meningkatkan membakar saya hidup -hidup jika ya maka ada yang bisa mengatakan bahwa kita akan membakar anda jika tidak saya tidak melihat ada yang berhubungan dengan baris ini,pak tolong beri tahu apakah itu cocok untuk pm yang dihormati untuk memberi tahu saya memberi saya 50 hari dan jika hal -hal tidak meningkatkan membakar saya hidup -hidup jika ya maka ada yang bisa mengatakan bahwa kita akan membakar anda jika tidak saya tidak melihat ada yang berhubungan dengan baris ini,"['pak', 'tolong', 'beri', 'tahu', 'apakah', 'itu', 'cocok', 'untuk', 'pm', 'yang', 'dihormati', 'untuk', 'memberi', 'tahu', 'saya', 'memberi', 'saya', '50', 'hari', 'dan', 'jika', 'hal', '-hal', 'tidak', 'meningkatkan', 'membakar', 'saya', 'hidup', '-hidup', 'jika', 'ya', 'maka', 'ada', 'yang', 'bisa', 'mengatakan', 'bahwa', 'kita', 'akan', 'membakar', 'anda', 'jika', 'tidak', 'saya', 'tidak', 'melihat', 'ada', 'yang', 'berhubungan', 'dengan', 'baris', 'ini']","['tolong', 'cocok', 'pm', 'dihormati', '50', '-hal', 'meningkatkan', 'membakar', 'hidup', '-hidup', 'ya', 'membakar', 'berhubungan', 'baris']","['tolong', 'cocok', 'pm', 'hormat', '50', '-hal', 'tingkat', 'bakar', 'hidup', '-hidup', 'ya', 'bakar', 'hubung', 'baris']",Potential Suicide post
sangat lelah dengan semua yang saya hanya ingin mati,sangat lelah dengan semua yang saya hanya ingin meninggal,"['sangat', 'lelah', 'dengan', 'semua', 'yang', 'saya', 'hanya', 'ingin', 'meninggal']","['lelah', 'meninggal']","['lelah', 'tinggal']",Potential Suicide post
rt saya sangat gila ketika saya marah itu sangat mengerikan sehingga saya perlu mengerjakan ini begitu buruk sebelum saya akhirnya melakukan sesuatu yang fu,rt saya sangat gila ketika saya marah itu sangat mengerikan sehingga saya perlu mengerjakan ini begitu buruk sebelum saya akhirnya melakukan sesuatu yang fu,"['rt', 'saya', 'sangat', 'gila', 'ketika', 'saya', 'marah', 'itu', 'sangat', 'mengerikan', 'sehingga', 'saya', 'perlu', 'mengerjakan', 'ini', 'begitu', 'buruk', 'sebelum', 'saya', 'akhirnya', 'melakukan', 'sesuatu', 'yang', 'fu']","['rt', 'gila', 'marah', 'mengerikan', 'buruk', 'fu']","['rt', 'gila', 'marah', 'keri', 'buruk', 'fu']",Potential Suicide post
"selamat, dave, nikmati un xxx kecil","selamat, dave, nikmati un xxx kecil","['selamat', ',', 'dave', ',', 'nikmati', 'un', 'xxx', 'kecil']","['selamat', ',', 'dave', ',', 'nikmati', 'un', 'xxx']","['selamat', '', 'dave', '', 'nikmat', 'un', 'xxx']",Not Suicide post
selamat pagi,selamat pagi,"['selamat', 'pagi']","['selamat', 'pagi']","['selamat', 'pagi']",Not Suicide post
starbucks yang enak,starbucks yang enak,"['starbucks', 'yang', 'enak']","['starbucks', 'enak']","['starbucks', 'enak']",Not Suicide post
kematian membuat saya takut dan saya tidak siap mati,kematian membuat saya takut dan saya tidak siap meninggal,"['kematian', 'membuat', 'saya', 'takut', 'dan', 'saya', 'tidak', 'siap', 'meninggal']","['kematian', 'takut', 'meninggal']","['mati', 'takut', 'tinggal']",Potential Suicide post
aku benci menjadi sendiri bc semuanya video musik sialan,saya benci menjadi sendiri bc semuanya video musik sialan,"['saya', 'benci', 'menjadi', 'sendiri', 'bc', 'semuanya', 'video', 'musik', 'sialan']","['benci', 'bc', 'video', 'musik', 'sialan']","['benci', 'bc', 'video', 'musik', 'sial']",Potential Suicide post
saya pergi ke starbucks sebelumnya,saya pergi ke starbucks sebelumnya,"['saya', 'pergi', 'ke', 'starbucks', 'sebelumnya']","['pergi', 'starbucks']","['pergi', 'starbucks']",Not Suicide post
gene telah bertingkah agak aneh belakangan ini ketika saya memberi tahu dia tentang penderita kusta yang ingin melompat keluar dari pohon untuk bergabung dengan supe,gene telah bertingkah agak aneh belakangan ini ketika saya memberi tahu dia tentang penderita kusta yang ingin melompat keluar dari pohon untuk bergabung dengan supe,"['gene', 'telah', 'bertingkah', 'agak', 'aneh', 'belakangan', 'ini', 'ketika', 'saya', 'memberi', 'tahu', 'dia', 'tentang', 'penderita', 'kusta', 'yang', 'ingin', 'melompat', 'keluar', 'dari', 'pohon', 'untuk', 'bergabung', 'dengan', 'supe']","['gene', 'bertingkah', 'aneh', 'penderita', 'kusta', 'melompat', 'pohon', 'bergabung', 'supe']","['gene', 'ting', 'aneh', 'derita', 'kusta', 'lompat', 'pohon', 'gabung', 'supe']",Potential Suicide post
saya sedang minum dan menangis malam saya seperti biasa untuk mengetahui bahwa mantan saya bercinta dengan seorang gadis di tempat tidurnya jadi saya mencoba membunuh,saya sedang minum dan menangis malam saya seperti biasa untuk mengetahui bahwa mantan saya bercinta dengan seorang gadis di tempat tidurnya jadi saya mencoba membunuh,"['saya', 'sedang', 'minum', 'dan', 'menangis', 'malam', 'saya', 'seperti', 'biasa', 'untuk', 'mengetahui', 'bahwa', 'mantan', 'saya', 'bercinta', 'dengan', 'seorang', 'gadis', 'di', 'tempat', 'tidurnya', 'jadi', 'saya', 'mencoba', 'membunuh']","['minum', 'menangis', 'malam', 'mantan', 'bercinta', 'gadis', 'tidurnya', 'mencoba', 'membunuh']","['minum', 'menang', 'malam', 'mantan', 'cinta', 'gadis', 'tidur', 'coba', 'bunuh']",Potential Suicide post
wow foto yang luar biasa,wow foto yang luar biasa,"['wow', 'foto', 'yang', 'luar', 'biasa']","['wow', 'foto']","['wow', 'foto']",Not Suicide post
"kematian tidak bisa jauh lebih buruk, saya 22 laki -laki, pacar saya pergi, saya sudah lama tinggal di kantor karena saya tidak bisa mengatasi teman -teman beban kerja tidak ada yang membenci keluarga saya dan mereka membenci saya hanya ingin mati saya tidak melihat pilihan lain pada saat ini","kematian tidak bisa jauh lebih buruk, saya 22 laki -laki, pacar saya pergi, saya sudah lama tinggal di kantor karena saya tidak bisa mengatasi teman -teman beban kerja tidak ada yang membenci keluarga saya dan mereka membenci saya hanya ingin meninggal saya tidak melihat pilihan lain pada saat ini","['kematian', 'tidak', 'bisa', 'jauh', 'lebih', 'buruk', ',', 'saya', '22', 'laki', '-laki', ',', 'pacar', 'saya', 'pergi', ',', 'saya', 'sudah', 'lama', 'tinggal', 'di', 'kantor', 'karena', 'saya', 'tidak', 'bisa', 'mengatasi', 'teman', '-teman', 'beban', 'kerja', 'tidak', 'ada', 'yang', 'membenci', 'keluarga', 'saya', 'dan', 'mereka', 'membenci', 'saya', 'hanya', 'ingin', 'meninggal', 'saya', 'tidak', 'melihat', 'pilihan', 'lain', 'pada', 'saat', 'ini']","['kematian', 'buruk', ',', '22', 'laki', '-laki', ',', 'pacar', 'pergi', ',', 'tinggal', 'kantor', 'mengatasi', 'teman', '-teman', 'beban', 'kerja', 'membenci', 'keluarga', 'membenci', 'meninggal', 'pilihan']","['mati', 'buruk', '', '22', 'laki', '-laki', '', 'pacar', 'pergi', '', 'tinggal', 'kantor', 'atas', 'teman', '-teman', 'beban', 'kerja', 'benci', 'keluarga', 'benci', 'tinggal', 'pilih']",Potential Suicide post
rt membenci fakta bahwa saya hampir terpaksa mencari tahu sendiri tetapi itu harus dilakukan,rt membenci fakta bahwa saya hampir terpaksa mencari tahu sendiri tetapi itu harus dilakukan,"['rt', 'membenci', 'fakta', 'bahwa', 'saya', 'hampir', 'terpaksa', 'mencari', 'tahu', 'sendiri', 'tetapi', 'itu', 'harus', 'dilakukan']","['rt', 'membenci', 'fakta', 'terpaksa', 'mencari']","['rt', 'benci', 'fakta', 'paksa', 'cari']",Potential Suicide post
selamat pagi selamat pagi moooooorning,selamat pagi selamat pagi moooooorning,"['selamat', 'pagi', 'selamat', 'pagi', 'moooooorning']","['selamat', 'pagi', 'selamat', 'pagi', 'moooooorning']","['selamat', 'pagi', 'selamat', 'pagi', 'moooooorning']",Not Suicide post
saya akan menonton t m 2 c wot mereka memiliki 2 mengatakan tentang twitter yor show brilian seperti sebelumnya mornin katie x,saya akan menonton t m 2 c wot mereka memiliki 2 mengatakan tentang twitter yor show brilian seperti sebelumnya mornin katie x,"['saya', 'akan', 'menonton', 't', 'm', '2', 'c', 'wot', 'mereka', 'memiliki', '2', 'mengatakan', 'tentang', 'twitter', 'yor', 'show', 'brilian', 'seperti', 'sebelumnya', 'mornin', 'katie', 'x']","['menonton', 't', 'm', '2', 'c', 'wot', 'memiliki', '2', 'twitter', 'yor', 'show', 'brilian', 'mornin', 'katie', 'x']","['tonton', 't', 'm', '2', 'c', 'wot', 'milik', '2', 'twitter', 'yor', 'show', 'brilian', 'mornin', 'katie', 'x']",Not Suicide post
ini lagu terbaru saya meninggalkan komentar,ini lagu terbaru saya meninggalkan komentar,"['ini', 'lagu', 'terbaru', 'saya', 'meninggalkan', 'komentar']","['lagu', 'terbaru', 'meninggalkan', 'komentar']","['lagu', 'baru', 'tinggal', 'komentar']",Not Suicide post
"tonton ruang ini, tidak yakin seberapa layaknya mungkin","tonton ruang ini, tidak yakin seberapa layaknya mungkin","['tonton', 'ruang', 'ini', ',', 'tidak', 'yakin', 'seberapa', 'layaknya', 'mungkin']","['tonton', 'ruang', ',', 'layaknya']","['tonton', 'ruang', '', 'layak']",Not Suicide post
dengan jake rt saya sangat dan sepenuh hati tidak ingin berada di sini lagi,dengan jake rt saya sangat dan sepenuh hati tidak ingin berada di sini lagi,"['dengan', 'jake', 'rt', 'saya', 'sangat', 'dan', 'sepenuh', 'hati', 'tidak', 'ingin', 'berada', 'di', 'sini', 'lagi']","['jake', 'rt', 'sepenuh', 'hati']","['jake', 'rt', 'sepenuh', 'hati']",Potential Suicide post
saya juga saya ingin mengadakan sesi minum semalam dengan teman -teman dan maksud saya semua haha,saya juga saya ingin mengadakan sesi minum semalam dengan teman -teman dan maksud saya semua haha,"['saya', 'juga', 'saya', 'ingin', 'mengadakan', 'sesi', 'minum', 'semalam', 'dengan', 'teman', '-teman', 'dan', 'maksud', 'saya', 'semua', 'haha']","['mengadakan', 'sesi', 'minum', 'semalam', 'teman', '-teman', 'maksud', 'haha']","['ada', 'sesi', 'minum', 'malam', 'teman', '-teman', 'maksud', 'haha']",Not Suicide post
seorang gadis yang tumpul dan jujur ​​yang hanya ingin merawat keluarganya dan seorang bocah lelaki yang bersemangat meneliti mimpinya,seorang gadis yang tumpul dan jujur ​​yang hanya ingin merawat keluarganya dan seorang bocah lelaki yang bersemangat meneliti mimpinya,"['seorang', 'gadis', 'yang', 'tumpul', 'dan', 'jujur', '\u200b\u200byang', 'hanya', 'ingin', 'merawat', 'keluarganya', 'dan', 'seorang', 'bocah', 'lelaki', 'yang', 'bersemangat', 'meneliti', 'mimpinya']","['gadis', 'tumpul', 'jujur', '\u200b\u200byang', 'merawat', 'keluarganya', 'bocah', 'lelaki', 'bersemangat', 'meneliti', 'mimpinya']","['gadis', 'tumpul', 'jujur', 'yang', 'rawat', 'keluarga', 'bocah', 'lelaki', 'semangat', 'teliti', 'mimpi']",Not Suicide post
"tidak bunuh diri namun saya kira itu adalah sesuatu yang bisa dibanggakan dengan saya memiliki senjata tetapi teman sekamar saya merasa berencana menemukan jembatan yang sepi untuk mengakhirinya, saya benar -benar menginginkan alasan untuk hidup tetapi saya hanya tidak dapat menemukannya","tidak bunuh diri diri namun saya kira itu adalah sesuatu yang bisa dibanggakan dengan saya memiliki senjata tetapi teman sekamar saya merasa berencana menemukan jembatan yang sepi untuk mengakhirinya, saya benar -benar menginginkan alasan untuk hidup tetapi saya hanya tidak dapat menemukannya","['tidak', 'bunuh', 'diri', 'diri', 'namun', 'saya', 'kira', 'itu', 'adalah', 'sesuatu', 'yang', 'bisa', 'dibanggakan', 'dengan', 'saya', 'memiliki', 'senjata', 'tetapi', 'teman', 'sekamar', 'saya', 'merasa', 'berencana', 'menemukan', 'jembatan', 'yang', 'sepi', 'untuk', 'mengakhirinya', ',', 'saya', 'benar', '-benar', 'menginginkan', 'alasan', 'untuk', 'hidup', 'tetapi', 'saya', 'hanya', 'tidak', 'dapat', 'menemukannya']","['bunuh', 'dibanggakan', 'memiliki', 'senjata', 'teman', 'sekamar', 'berencana', 'menemukan', 'jembatan', 'sepi', 'mengakhirinya', ',', '-benar', 'alasan', 'hidup', 'menemukannya']","['bunuh', 'bangga', 'milik', 'senjata', 'teman', 'kamar', 'rencana', 'temu', 'jembatan', 'sepi', 'akhir', '', '-benar', 'alas', 'hidup', 'temu']",Potential Suicide post
photoboth adalah blackandwhite dan wayyy tua kami memanggilnya herbert lol aku mencintainya dia seperti legenda hidup harus mencintai berlin 3,photoboth adalah blackandwhite dan wayyy tua kami memanggilnya herbert tertawa saya mencintainya dia seperti legenda hidup harus mencintai berlin 3,"['photoboth', 'adalah', 'blackandwhite', 'dan', 'wayyy', 'tua', 'kami', 'memanggilnya', 'herbert', 'tertawa', 'saya', 'mencintainya', 'dia', 'seperti', 'legenda', 'hidup', 'harus', 'mencintai', 'berlin', '3']","['photoboth', 'blackandwhite', 'wayyy', 'tua', 'memanggilnya', 'herbert', 'tertawa', 'mencintainya', 'legenda', 'hidup', 'mencintai', 'berlin', '3']","['photoboth', 'blackandwhite', 'wayyy', 'tua', 'panggil', 'herbert', 'tertawa', 'cinta', 'legenda', 'hidup', 'cinta', 'lin', '3']",Not Suicide post
lol adalah temanmu,tertawa adalah temanmu,"['tertawa', 'adalah', 'temanmu']","['tertawa', 'temanmu']","['tertawa', 'teman']",Not Suicide post
itu tidak akan sengsara selama setidaknya 2 minggu,itu tidak akan sengsara selama setidaknya 2 minggu,"['itu', 'tidak', 'akan', 'sengsara', 'selama', 'setidaknya', '2', 'minggu']","['sengsara', '2', 'minggu']","['sengsara', '2', 'minggu']",Not Suicide post
"tom chaplin menikah dengan saya, saya meleleh untuk anda hahaha o dan pearshapebodygirl berhenti berbicara dengan saya ya","tom chaplin menikah dengan saya, saya meleleh untuk anda hahaha o dan pearshapebodygirl berhenti berbicara dengan saya ya","['tom', 'chaplin', 'menikah', 'dengan', 'saya', ',', 'saya', 'meleleh', 'untuk', 'anda', 'hahaha', 'o', 'dan', 'pearshapebodygirl', 'berhenti', 'berbicara', 'dengan', 'saya', 'ya']","['tom', 'chaplin', 'menikah', ',', 'meleleh', 'hahaha', 'o', 'pearshapebodygirl', 'berhenti', 'berbicara', 'ya']","['tom', 'chaplin', 'meni', '', 'leleh', 'hahaha', 'o', 'pearshapebodygirl', 'henti', 'bicara', 'ya']",Not Suicide post
saya mencoba membuat roti salib panas dengan bella dan ari,saya mencoba membuat roti salib panas dengan bella dan ari,"['saya', 'mencoba', 'membuat', 'roti', 'salib', 'panas', 'dengan', 'bella', 'dan', 'ari']","['mencoba', 'roti', 'salib', 'panas', 'bella', 'ari']","['coba', 'roti', 'salib', 'panas', 'bella', 'ari']",Not Suicide post
ini meringkas apa yang terjadi di boc chrismas special ketika mereka semua dalam kekacauan kita masih memiliki mil phakphum romsaithong yang sangat tenang dalam segala hal,ini meringkas apa yang terjadi di boc chrismas special ketika mereka semua dalam kekacauan kita masih memiliki mil phakphum romsaithong yang sangat tenang dalam segala hal,"['ini', 'meringkas', 'apa', 'yang', 'terjadi', 'di', 'boc', 'chrismas', 'special', 'ketika', 'mereka', 'semua', 'dalam', 'kekacauan', 'kita', 'masih', 'memiliki', 'mil', 'phakphum', 'romsaithong', 'yang', 'sangat', 'tenang', 'dalam', 'segala', 'hal']","['meringkas', 'boc', 'chrismas', 'special', 'kekacauan', 'memiliki', 'mil', 'phakphum', 'romsaithong', 'tenang']","['ringkas', 'boc', 'chrismas', 'special', 'kacau', 'milik', 'mil', 'phakphum', 'romsaithong', 'tenang']",Not Suicide post
o dia baru saja membalas seseorang yang dougie menjawab beberapa orang sore ini jadi anda tidak pernah tahu selain itu menyenangkan,o dia baru saja membalas seseorang yang dougie menjawab beberapa orang sore ini jadi anda tidak pernah tahu selain itu menyenangkan,"['o', 'dia', 'baru', 'saja', 'membalas', 'seseorang', 'yang', 'dougie', 'menjawab', 'beberapa', 'orang', 'sore', 'ini', 'jadi', 'anda', 'tidak', 'pernah', 'tahu', 'selain', 'itu', 'menyenangkan']","['o', 'membalas', 'dougie', 'orang', 'sore', 'menyenangkan']","['o', 'balas', 'dougie', 'orang', 'sore', 'senang']",Not Suicide post
"saya berusia 16 tahun dan sangat membenci diri sendiri sehingga saya memiliki sangat sedikit teman yang tidak pernah ada seorang pacar yang banyak diganggu dan banyak ditolak, tolong bantu saya, saya ingin bunuh diri, itu akan membuat semua ini hilang, saya tidak pantas berada di bumi ini karena saya terlalu bodoh dan tidak ada yang tidak ada yang saya inginkan dan tidak ada yang saya ingin menjadi orang yang tidak ada yang ada di dalamnya. karena menjadi perawan adalah hal yang buruk dan saya tidak akan pernah bisa hidup dengan perasaan itu jika saya tidak punya teman atau pacar ketika saya orang dewasa, saya berencana melakukan bunuh diri, bisakah anda membantu saya berterima kasih telah membaca","saya berusia 16 tahun dan sangat membenci diri sendiri sehingga saya memiliki sangat sedikit teman yang tidak pernah ada seorang pacar yang banyak diganggu dan banyak ditolak, tolong bantu saya, saya ingin bunuh diri diri, itu akan membuat semua ini hilang, saya tidak pantas berada di bumi ini karena saya terlalu bodoh dan tidak ada yang tidak ada yang saya inginkan dan tidak ada yang saya ingin menjadi orang yang tidak ada yang ada di dalamnya. karena menjadi perawan adalah hal yang buruk dan saya tidak akan pernah bisa hidup dengan perasaan itu jika saya tidak punya teman atau pacar ketika saya orang dewasa, saya berencana melakukan bunuh diri diri, bisakah anda membantu saya berterima kasih telah membaca","['saya', 'berusia', '16', 'tahun', 'dan', 'sangat', 'membenci', 'diri', 'sendiri', 'sehingga', 'saya', 'memiliki', 'sangat', 'sedikit', 'teman', 'yang', 'tidak', 'pernah', 'ada', 'seorang', 'pacar', 'yang', 'banyak', 'diganggu', 'dan', 'banyak', 'ditolak', ',', 'tolong', 'bantu', 'saya', ',', 'saya', 'ingin', 'bunuh', 'diri', 'diri', ',', 'itu', 'akan', 'membuat', 'semua', 'ini', 'hilang', ',', 'saya', 'tidak', 'pantas', 'berada', 'di', 'bumi', 'ini', 'karena', 'saya', 'terlalu', 'bodoh', 'dan', 'tidak', 'ada', 'yang', 'tidak', 'ada', 'yang', 'saya', 'inginkan', 'dan', 'tidak', 'ada', 'yang', 'saya', 'ingin', 'menjadi', 'orang', 'yang', 'tidak', 'ada', 'yang', 'ada', 'di', 'dalamnya', '.', 'karena', 'menjadi', 'perawan', 'adalah', 'hal', 'yang', 'buruk', 'dan', 'saya', 'tidak', 'akan', 'pernah', 'bisa', 'hidup', 'dengan', 'perasaan', 'itu', 'jika', 'saya', 'tidak', 'punya', 'teman', 'atau', 'pacar', 'ketika', 'saya', 'orang', 'dewasa', ',', 'saya', 'berencana', 'melakukan', 'bunuh', 'diri', 'diri', ',', 'bisakah', 'anda', 'membantu', 'saya', 'berterima', 'kasih', 'telah', 'membaca']","['berusia', '16', 'membenci', 'memiliki', 'teman', 'pacar', 'diganggu', 'ditolak', ',', 'tolong', 'bantu', ',', 'bunuh', ',', 'hilang', ',', 'bumi', 'bodoh', 'orang', 'dalamnya', '.', 'perawan', 'buruk', 'hidup', 'perasaan', 'teman', 'pacar', 'orang', 'dewasa', ',', 'berencana', 'bunuh', ',', 'membantu', 'berterima', 'kasih', 'membaca']","['usia', '16', 'benci', 'milik', 'teman', 'pacar', 'ganggu', 'tolak', '', 'tolong', 'bantu', '', 'bunuh', '', 'hilang', '', 'bumi', 'bodoh', 'orang', 'dalam', '', 'perawan', 'buruk', 'hidup', 'asa', 'teman', 'pacar', 'orang', 'dewasa', '', 'rencana', 'bunuh', '', 'bantu', 'terima', 'kasih', 'baca']",Potential Suicide post
"lincoln ne rt saya minta maaf jika saya benar -benar ingin hidup saya berakhir, saya minta maaf saya minum selama seminggu berturut -turut saya minta maaf tetapi sulit untuk mengatakan itu akan baik -baik saja","lincoln ne rt saya minta maaf jika saya benar -benar ingin hidup saya berakhir, saya minta maaf saya minum selama seminggu berturut -turut saya minta maaf tetapi sulit untuk mengatakan itu akan baik -baik saja","['lincoln', 'ne', 'rt', 'saya', 'minta', 'maaf', 'jika', 'saya', 'benar', '-benar', 'ingin', 'hidup', 'saya', 'berakhir', ',', 'saya', 'minta', 'maaf', 'saya', 'minum', 'selama', 'seminggu', 'berturut', '-turut', 'saya', 'minta', 'maaf', 'tetapi', 'sulit', 'untuk', 'mengatakan', 'itu', 'akan', 'baik', '-baik', 'saja']","['lincoln', 'ne', 'rt', 'maaf', '-benar', 'hidup', ',', 'maaf', 'minum', 'seminggu', '-turut', 'maaf', 'sulit', '-baik']","['lincoln', 'ne', 'rt', 'maaf', '-benar', 'hidup', '', 'maaf', 'minum', 'minggu', '-turut', 'maaf', 'sulit', '-baik']",Potential Suicide post
bruh aku membenci diriku sendiri pria seksi yang tidak akan pernah saya lihat lagi mengatakan satu hal kepada saya dan saya seperti sialan itu akan lucu,bruh saya membenci diriku sendiri pria seksi yang tidak akan pernah saya lihat lagi mengatakan satu hal kepada saya dan saya seperti sialan itu akan lucu,"['bruh', 'saya', 'membenci', 'diriku', 'sendiri', 'pria', 'seksi', 'yang', 'tidak', 'akan', 'pernah', 'saya', 'lihat', 'lagi', 'mengatakan', 'satu', 'hal', 'kepada', 'saya', 'dan', 'saya', 'seperti', 'sialan', 'itu', 'akan', 'lucu']","['bruh', 'membenci', 'diriku', 'pria', 'seksi', 'lihat', 'sialan', 'lucu']","['bruh', 'benci', 'diri', 'pria', 'seksi', 'lihat', 'sial', 'lucu']",Potential Suicide post
itu membuat saya membenci diri sendiri dan saya tidak melakukan apa -apa,itu membuat saya membenci diri sendiri dan saya tidak melakukan apa -apa,"['itu', 'membuat', 'saya', 'membenci', 'diri', 'sendiri', 'dan', 'saya', 'tidak', 'melakukan', 'apa', '-apa']","['membenci', '-apa']","['benci', '-apa']",Potential Suicide post
anda apakah saya terlalu memikirkan semuanya dalam hidup saya dan kemudian membuat diri saya percaya hal -hal ini saya baru saja kecewa atau stres ugh,anda apakah saya terlalu memikirkan semuanya dalam hidup saya dan kemudian membuat diri saya percaya hal -hal ini saya baru saja kecewa atau stres ugh,"['anda', 'apakah', 'saya', 'terlalu', 'memikirkan', 'semuanya', 'dalam', 'hidup', 'saya', 'dan', 'kemudian', 'membuat', 'diri', 'saya', 'percaya', 'hal', '-hal', 'ini', 'saya', 'baru', 'saja', 'kecewa', 'atau', 'stres', 'ugh']","['memikirkan', 'hidup', 'percaya', '-hal', 'kecewa', 'stres', 'ugh']","['pikir', 'hidup', 'percaya', '-hal', 'kecewa', 'stres', 'ugh']",Potential Suicide post
hai cutie selamat datang di twitternation,hai cutie selamat datang di twitternation,"['hai', 'cutie', 'selamat', 'datang', 'di', 'twitternation']","['hai', 'cutie', 'selamat', 'twitternation']","['hai', 'cutie', 'selamat', 'twitternation']",Not Suicide post
bersantai dengan anakku,bersantai dengan anakku,"['bersantai', 'dengan', 'anakku']","['bersantai', 'anakku']","['santa', 'anak']",Not Suicide post
